CLASS,Level,SKILL_NAME,"Vasant Valley School, New Delhi",National Average
5,Analytical Skill,Analysis of information to identify trends or properties,54.2955092784,48.881176284332916
5,Analytical Skill,Hypothesis formulation or prediction of outcome,47.079,44.054559510796295
5,Analytical Skill,Integrating different concepts or information for decision making,46.0481340206,44.02753105981855
5,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",45.1031206186,45.82050536665165
5,Core Skill,Classification/comparison of organisms/processes; giving examples,61.3402185567,52.527582067896816
5,Core Skill,"Definition or description of scientific terms, organisms or materials",60.5669979381,54.376873647778424
5,Core Skill,"Extraction, translation and application of knowledge or information",56.3574082474,49.67132651867187
5,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",52.5773185567,50.86450648928877
5,Core Skill,Recollection or recognition of science facts and concepts,57.7319298969,53.31942634574782
8,Analytical Skill,Advanced or complex data representation or interpretation,50.0000371134,41.44566914027393
8,Analytical Skill,Analysis of information to identify trends or properties,47.2508494845,41.260296950803564
8,Analytical Skill,Hypothesis formulation; design of apparatus or experiment,55.0515618557,40.531267471571375
8,Analytical Skill,Integrating different concepts or information for decision making,54.8969123711,38.775740265672745
8,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",54.9827948454,44.9821509291927
8,Core Skill,Classification/comparison of organisms/processes; giving examples,49.742257732,43.366078829299724
8,Core Skill,"Definition or description of scientific terms, organisms or materials",55.1546505155,42.8952050617434
8,Core Skill,"Extraction, translation and application of knowledge or information",52.8350412371,40.17980490806282
8,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",41.2371082474,43.740966269017974
8,Core Skill,Recollection or recognition of science facts and concepts,46.6495061856,40.01379295723117
